RaceNo,Place,Tally,HelmName,Nat,HelmSex,HelmAgeGroup,Elapsed,Points,Code
1,262,117,"VORONINS, Eriks",Latvia,M,40-49M,00:54:19,262.0,
1,579,435,"BALTINS, Vilnis",Latvia,M,50-59M,01:18:46,579.0,
2,241,117,"VORONINS, Eriks",Latvia,M,40-49M,00:46:59,241.0,
2,717,435,"BALTINS, Vilnis",Latvia,M,50-59M,01:06:28,717.0,
3,240,117,"VORONINS, Eriks",Latvia,M,40-49M,00:46:36,240.0,
3,829,435,"BALTINS, Vilnis",Latvia,M,50-59M,,,DNS
4,291,117,"VORONINS, Eriks",Latvia,M,40-49M,00:59:56,291.0,
4,818,435,"BALTINS, Vilnis",Latvia,M,50-59M,,,DNS
5,257,117,"VORONINS, Eriks",Latvia,M,40-49M,,254.0,
5,495,435,"BALTINS, Vilnis",Latvia,M,50-59M,,491.0,
