RaceNo,Place,Tally,HelmName,Nat,HelmSex,HelmAgeGroup,Elapsed,Points
1,49,55,"EMANUELSSON, Markus",Sweden,M,40-49M,00:38:53,49.0
1,652,877,"BJORKQVIST, Anders",Sweden,M,50-59M,01:33:53,652.0
1,679,52,"ORNVANG, Roger",Sweden,M,50-59M,DNF,DNF
1,679,334,"JOHANSSON, Michael",Sweden,M,50-59M,DNF,DNF
1,679,766,"CARDENAL BASTÉ, Juan",Sweden,M,40-49M,DNF,DNF
1,679,207,"CRAFOORD, David",Sweden,M,50-59M,DNS,DNS
1,679,955,"OLSSON, Anders",Sweden,M,50-59M,DNS,DNS
2,44,55,"EMANUELSSON, Markus",Sweden,M,40-49M,00:36:52,44.0
2,616,877,"BJORKQVIST, Anders",Sweden,M,50-59M,01:01:23,616.0
2,845,766,"CARDENAL BASTÉ, Juan",Sweden,M,40-49M,01:25:42,845.0
2,863,52,"ORNVANG, Roger",Sweden,M,50-59M,DNF,DNF
2,863,334,"JOHANSSON, Michael",Sweden,M,50-59M,DNF,DNF
2,863,207,"CRAFOORD, David",Sweden,M,50-59M,DNS,DNS
2,863,955,"OLSSON, Anders",Sweden,M,50-59M,DNS,DNS
3,33,55,"EMANUELSSON, Markus",Sweden,M,40-49M,00:35:15,33.0
3,486,877,"BJORKQVIST, Anders",Sweden,M,50-59M,00:56:42,486.0
3,819,766,"CARDENAL BASTÉ, Juan",Sweden,M,40-49M,01:37:42,819.0
3,829,334,"JOHANSSON, Michael",Sweden,M,50-59M,DNF,DNF
3,829,52,"ORNVANG, Roger",Sweden,M,50-59M,DNS,DNS
3,829,207,"CRAFOORD, David",Sweden,M,50-59M,DNS,DNS
3,829,955,"OLSSON, Anders",Sweden,M,50-59M,DNS,DNS
4,84,55,"EMANUELSSON, Markus",Sweden,M,40-49M,00:44:02,84.0
4,536,877,"BJORKQVIST, Anders",Sweden,M,50-59M,01:13:40,536.0
4,777,207,"CRAFOORD, David",Sweden,M,50-59M,01:37:46,777.0
4,811,766,"CARDENAL BASTÉ, Juan",Sweden,M,40-49M,01:55:48,811.0
4,818,334,"JOHANSSON, Michael",Sweden,M,50-59M,DNF,DNF
4,818,52,"ORNVANG, Roger",Sweden,M,50-59M,DNS,DNS
4,818,955,"OLSSON, Anders",Sweden,M,50-59M,DNS,DNS
5,34,55,"EMANUELSSON, Markus",Sweden,M,40-49M,,33.0
5,278,877,"BJORKQVIST, Anders",Sweden,M,50-59M,,275.0
5,631,334,"JOHANSSON, Michael",Sweden,M,50-59M,,624.0
5,732,766,"CARDENAL BASTÉ, Juan",Sweden,M,40-49M,,1249.0
5,940,52,"ORNVANG, Roger",Sweden,M,50-59M,,1250.0
5,940,207,"CRAFOORD, David",Sweden,M,50-59M,,1250.0
5,940,955,"OLSSON, Anders",Sweden,M,50-59M,,1250.0
